Problem;Solution
Multiply [[1,2,3],[4,5,6]] and [[2],[2],[2]];[[2, 4, 6], [8, 10, 12]]
Add [[2,5,7], [4,7,9]] and [[2,0,0], [2,2,2]];[[4,5,7],[6,9,11]]
Solve the ordinary differential equation dx/dt=5x−3 for x(t);x(t) = Ce^(5t) + 3/5
If cot {(π / 2) – θ} = √3, then give value of cos θ;1/2
Simplify the expression 4m+5+2m-1;6m + 4
Find the minimum value of the function f(x)=x^2+4x+5;5
Solve 2(e^x) + 5 = 115;x = ln(55.5)
What is the absolute value of -6?;6
Find the slope of the line y = 2x + 1;2
What is the solution to the equation x² + 4x + 4 = 0?;-2
What is the value of sin(30°)?;0.5
If f(x) = x^3 - 3x + 1, what is f'(x)?;3x^2 - 3
Solve the system of equations 3x + 2y = 8 and 2x - 3y = 7;x = 17/13 and y = -2/13
What is the derivative of ln(x)?;1/x
Find the zeros of the function f(x) = x^2 - 6x + 8;2 and 4
What is the value of ∫(2x + 1)dx from x=0 to x=2?;5
Find the equation of the line that passes through the points (3,5) and (7,9);y = x + 2
What is the value of cos(45°)?;0.7071067811865476
Solve the equation 2x + 5 = 11;x = 3
What is the distance between the points (-3,4) and (1,2)?;2√10
Find the vertex of the parabola y = x^2 - 4x + 3;(2,-1)
What is the value of tan(60°)?;1.7320508075688772
Simplify the expression (x + 3)(x - 4) - (x - 2)(x + 5);-4x - 7
What is the domain of the function f(x) = 1/(x - 3)?;x ≠ 3
Evaluate the expression log₂(16);4
Find the x-intercept of the line y = 3x - 6;2
What is the solution to the equation 2x² + 5x + 3 = 0?;-1 and -1.5
Find the value of x in the equation log₂(x) + log₂(x + 2) = 3; x = 2
What is the inverse of the function f(x) = 2x - 5?; f⁻¹(x) = (x + 5) / 2
If f(x) = (x + 2)² and g(x) = 3x - 1, find (f ∘ g)(x); (f ∘ g)(x) = (3x + 1)² + 2
Solve the system of equations: x + y + z = 6, 2x + 3y + 4z = 20, 4x + 5y + 6z = 30; x = 1, y = 2, z = 3
What is the limit of (3x² - 2x + 1) / (2x² + 3) as x approaches infinity?; The limit does not exist
What is the Maclaurin series expansion for sin(x)?; sin(x) = x - x³/3! + x⁵/5! - x⁷/7! + ...
What is the volume of the solid generated by revolving the region bounded by y = x², x = 1 and y = 0 about the x-axis?; V = π/5 units³
What is the Laplace transform of f(t) = t² - 3t + 2?; F(s) = 2/s³ - 3/s² + 2/s
What is the solution to the differential equation y'' + 2y' + y = e^(-x) with initial conditions y(0) = 1 and y'(0) = 0?; y(x) = e^(-x) - xe^(-x) + 2e^(-x)cos(x)
What is the eigenvalue of the matrix A = [2 1, 4 3] with corresponding eigenvector [1, -2]?; λ = 1
Find the Fourier series for the function f(x) = x on the interval [-π, π]; f(x) = π/2 + 2/π * Σ[n=1, ∞]((-1)^n-1/n * sin(nx))
Find the Taylor series expansion for f(x) = ln(x) about x = 1; ln(x) = (x - 1) - (x - 1)²/2 + (x - 1)³/3 - (x - 1)⁴/4 + ...
What is the area enclosed by the curves y = x² and y = √x?; A = 1/6 sq. units
Find the derivative of f(x) = x^2 + 2x + 1;f'(x) = 2x + 2
Simplify the expression (x^2 - 4)/(x - 2);x + 2
Find the area of a circle with radius 3 units;A = 9π square units
Solve the quadratic equation x^2 + 5x + 6 = 0;x = -2 or -3
What is the value of log(base 2)16?;4
Evaluate the integral of x^2 with respect to x; (1/3)x^3 + C
What is the value of sin(π/3)?;√3/2
Solve the system of equations: x + y = 7, x - y = 1;x = 4, y = 3
Simplify the expression (2x^2 - 6x)/(x^2 - 4);2(x + 1)/(x - 2)(x + 2)
Find the equation of the line passing through the points (1, 2) and (3, 4);y = x + 1
What is the value of 5! (5 factorial)?;120
Find the slope of the line passing through the points (2, 3) and (4, 5);1
Solve the equation log(base 2)(x - 1) + log(base 2)(x + 1) = 2; x = √3
What is the value of cos(π/6)?;√3/2
Simplify the expression (x^2 - 2x - 8)/(x^2 - 9);(x - 4)/(x - 3)(x + 3)
Evaluate the limit lim(x→1) ((x^2 + 2x - 3)/(x - 1));4
Find the length of the hypotenuse of a right triangle with legs 3 and 4 units;5
Simplify the expression (3x^3 - 6x^2 + 3x)/(x^2 - x);3x/(x - 1)
Find the value of a in the quadratic equation ax^2 - 4x + 1 = 0;a = (4 + √6)/2 or (4 - √6)/2
Solve the inequality 2x + 1 > 5x - 3;x < 2
Find the value of cos(π/4);1/√2
Simplify the expression (4x^2 + 4x)/(2x + 6);2x/(x + 3)
Solve the system of equations: x + y + z = 6, x - y + z = 2, x + y - z = 0;x = 2, y = 2, z = 2
Find the derivative of f(x) = 3x^2 + 2x - 1;f'(x) = 6x + 2
Find the value of tan(π/4);1
Simplify the expression (x^3 + 3x^2 + 2x)/(x^2 + 2x);x + 2 + 2/(x + 2)
Find the equation of the line passing through the point (4, -3) and perpendicular to the line y = -2x + 5;y = (1/2)x - 5/2
Find the value of log(base 10)1000;3
Solve the equation e^(2x) - 7e^x + 10 = 0;x = ln(2) or ln(5)
What is the value of sec(π/6)?;2/√3
Simplify the expression (2x^2 - 3x - 5)/(x^2 + 2x + 1);2x - 5/(x + 1)^2
Find the slope of the line passing through the points (1, -2) and (-3, 4);-3/2
Solve the equation 4x - 3 = 5x - 6;x = 3
What is the value of tan(π/4)?;1
Simplify the expression (2x^2 + 8x)/(x^2 + 2x);2x/(x + 2)
Find the x-intercept of the line y = 3x - 6;-2
What is the value of 7! (7 factorial)?;5040
Find the equation of the line that is perpendicular to y = 3x - 2 and passes through the point (2, 1);y = (-1/3)x + (7/3)
Evaluate the expression 2cos(π/6) - 3sin(π/6);√3 - 3/2
Simplify the expression (x^3 - 1)/(x^2 + x - 2);(x - 1)/(x + 2)
Solve the equation log(base 3)(2x + 1) - log(base 3)(x + 4) = 1;x = 2/3
What is the value of sin(π/4)?;1/√2
Find the equation of the line that passes through the point (2, 3) and has a slope of -4;y = -4x + 11
Simplify the expression (3x^2 - 6x - 15)/(x^2 - 9);(3(x - 3))/(x - 3)(x + 3)
Evaluate the limit lim(x→2) ((2x^2 - 5x - 3)/(x^2 - 4x + 4));-1
Find the area of a triangle with base 8 units and height 6 units;24
Simplify the expression (x^3 + 3x^2 + 2x)/(x^2 - x - 12);(x(x + 3))/(x - 4)(x + 3)
Find the equation of the circle with center (-2, 3) and radius 5;(x + 2)^2 + (y - 3)^2 = 25
Simplify the expression (4x^2 - 12)/(2x - 6);2(x + 3)/(x - 3)
Find the equation of the line passing through the point (2, 3) and parallel to the line y = -2x + 1;y = -2x - 1
What is the value of 3! (3 factorial)?;6
Evaluate the expression sin(π/6)cos(π/6);1/4
Simplify the expression (x^2 - 7x + 10)/(x^2 - 5x + 6);(x - 2)/(x - 2)(x - 3)
Find the midpoint of the line segment connecting the points (2, 3) and (6, 9);(4, 6)
What is the value of cot(π/4)?;1
Simplify the expression (3x^3 + 3x^2 - 6x)/(2x^2 + x - 3);(3x(x + 1))/(2x - 3)(x + 1)
Find the equation of the line that passes through the point (4, -3) and has a slope of 2;y = 2x - 11
